Year,County,0BR,1BR,2BR,3BR,4BR
2006,Kent,566,616,682,892,1198
2006,New Castle,649,742,886,1061,1262
2006,Sussex,525,572,635,869,894
2007,Kent,588,640,709,927,1245
2007,New Castle,676,773,923,1105,1314
2007,Sussex,547,595,661,904,931
2008,Kent,617,671,743,972,1305
2008,New Castle,682,781,932,1116,1327
2008,Sussex,566,617,685,937,964
2009,Kent,642,699,774,1012,1359
2009,New Castle,736,842,1005,1203,1431
2009,Sussex,590,643,714,977,1005
2010,Kent,696,757,838,1096,1472
2010,New Castle,803,915,1095,1339,1615
2010,Sussex,640,697,774,1059,1090
2011,Kent,674,733,812,1062,1426
2011,New Castle,789,900,1077,1317,1589
2011,Sussex,620,675,750,1026,1056
2012,Kent,666,725,803,1050,1410
2012,New Castle,788,899,1075,1315,1586
2012,Sussex,615,670,744,1018,1048
2013,Kent,653,835,990,1386,1749
2013,New Castle,788,929,1119,1394,1496
2013,Sussex,708,724,979,1336,1556
2014,Kent,600,768,910,1274,1608
2014,New Castle,799,942,1135,1414,1518
2014,Sussex,603,616,834,1138,1325
2015,Kent,649,830,984,1378,1738
2015,New Castle,814,959,1156,1440,1546
2015,Sussex,713,730,987,1347,1568
2016,Kent,683,823,952,1385,1662
2016,New Castle,830,1003,1210,1502,1659
2016,Sussex,703,756,1012,1388,1563
2017,Kent,832,899,1037,1510,1827
2017,New Castle,845,1003,1211,1515,1686
2017,Sussex,618,688,915,1304,1477
2018,Kent,771,809,933,1359,1644
2018,New Castle,883,1047,1266,1587,1787
2018,Sussex,596,691,900,1309,1471
2019,Kent,853,875,1034,1485,1790
2019,New Castle,840,992,1200,1503,1715
2019,Sussex,707,812,1053,1521,1721
2020,Kent,880,893,1044,1493,1790
2020,New Castle,864,1013,1226,1528,1754
2020,Sussex,637,731,948,1369,1549
2021,Kent,878,908,1066,1526,1785
2021,New Castle,900,1040,1260,1567,1796
2021,Sussex,641,732,965,1306,1506
